iter	Passed	Remaining
0	16	16618
1	22	11205
2	26	8779
3	29	7367
4	32	6468
5	35	5864
6	40	5748
7	44	5512
8	47	5236
9	51	5074
10	55	4989
11	59	4877
12	62	4756
13	65	4614
14	68	4519
15	73	4507
16	76	4437
17	80	4364
18	83	4290
19	86	4261
20	91	4250
21	94	4213
22	97	4153
23	101	4124
24	105	4123
25	108	4080
26	111	4024
27	114	3986
28	118	3958
29	121	3943
30	124	3905
31	128	3877
32	131	3846
33	134	3828
34	137	3804
35	140	3774
36	143	3745
37	146	3720
38	149	3694
39	153	3676
40	156	3661
41	160	3649
42	163	3649
43	167	3637
44	170	3624
45	173	3604
46	176	3583
47	180	3573
48	183	3556
49	186	3543
50	189	3521
51	192	3505
52	195	3491
53	198	3478
54	201	3466
55	205	3459
56	208	3446
57	211	3434
58	215	3433
59	218	3420
60	221	3405
61	223	3388
62	226	3375
63	229	3362
64	232	3351
65	236	3342
66	239	3333
67	242	3325
68	245	3312
69	248	3303
70	252	3299
71	254	3285
72	258	3276
73	261	3267
74	264	3256
75	267	3248
76	270	3241
77	273	3232
78	276	3223
79	279	3211
80	281	3199
81	285	3194
82	288	3190
83	291	3178
84	294	3172
85	297	3164
86	300	3158
87	304	3154
88	307	3147
89	310	3139
90	313	3130
91	316	3124
92	319	3115
93	322	3112
94	326	3107
95	329	3098
96	331	3090
97	335	3084
98	338	3078
99	341	3074
100	344	3069
101	347	3062
102	350	3056
103	354	3051
104	357	3050
105	360	3043
106	363	3036
107	366	3027
108	369	3018
109	372	3013
110	375	3008
111	378	3003
112	381	2996
113	384	2991
114	387	2983
115	390	2979
116	393	2972
117	396	2965
118	400	2961
119	403	2957
120	406	2951
121	409	2944
122	412	2944
123	416	2940
124	419	2934
125	422	2930
126	426	2930
127	429	2923
128	432	2919
129	435	2915
130	438	2910
131	441	2906
132	444	2900
133	447	2893
134	450	2887
135	453	2884
136	457	2879
137	459	2873
138	462	2866
139	465	2861
140	469	2857
141	472	2854
142	475	2849
143	479	2849
144	482	2843
145	485	2839
146	488	2832
147	490	2825
148	494	2821
149	497	2819
150	500	2815
151	503	2811
152	506	2806
153	509	2801
154	512	2795
155	515	2791
156	519	2788
157	522	2781
158	525	2777
159	527	2771
160	530	2766
161	534	2762
162	537	2759
163	540	2755
164	544	2753
165	546	2747
166	549	2741
167	552	2735
168	555	2730
169	558	2725
170	561	2720
171	563	2714
172	567	2711
173	570	2705
174	572	2699
175	575	2692
176	578	2687
177	581	2683
178	583	2678
179	587	2674
180	590	2670
181	593	2666
182	596	2665
183	599	2660
184	602	2655
185	606	2654
186	609	2650
187	612	2644
188	616	2645
189	619	2640
190	622	2636
191	625	2632
192	628	2628
193	631	2623
194	634	2617
195	636	2612
196	640	2609
197	643	2605
198	646	2601
199	649	2596
200	652	2593
201	655	2590
202	658	2586
203	661	2581
204	664	2576
205	667	2574
206	670	2569
207	673	2565
208	676	2560
209	680	2558
210	683	2554
211	686	2550
212	689	2546
213	692	2541
214	695	2538
215	699	2537
